application,conf,threads,CH,CHv2,CA,CB,CBv2,CC,NBC,SP(16)
__cere__3D_computeTempOMP_150,conf1,16,368.62838983416776,0.03686283898341677,144.6171875,248.80881637945004,0.7133099987609961,0.35546875,0.5685268218896873,0.0
__cere__3D_computeTempOMP_150,conf1,32,140.58089335848817,0.014058089335848817,35.82421875,218.56940355468325,0.6860966593647316,0.388671875,0.5781812234216552,0.2171518918329517
__cere__3D_computeTempOMP_150,conf1,64,30.137184899771295,0.0030137184899771295,22.43701171875,512.2695915214033,0.8366732540946314,0.426025390625,0.8083828425931971,0.4728732780570608
__cere__3D_computeTempOMP_150,conf2,16,186.7919301909139,0.01867919301909139,65.2109375,281.45441475979396,0.7378454773869347,0.41796875,0.5398346711393315,0.0
__cere__3D_computeTempOMP_150,conf2,32,51.14116117692297,0.005114116117692297,28.17578125,375.0311936780812,0.7894875087555452,0.4404296875,0.7092056009981977,0.2810896991543047
__cere__3D_computeTempOMP_150,conf2,64,13.794566263803338,0.001379456626380334,19.8447265625,291.6342699670292,0.7446597305991154,0.44140625,0.8798533536735397,0.6193100733231632
__cere__bfs__Z8BFSGraphiPPc_135,conf1,16,127.50673185941042,0.012750673185941044,17.2109375,36.90422151611439,0.26956233421750664,0.50390625,0.8561053109396277,0.0
__cere__bfs__Z8BFSGraphiPPc_135,conf1,32,99.679443359375,0.0099679443359375,17.013671875,32.79761221444151,0.24697441217150762,0.4814453125,0.9259556882103088,0.4847893468028929
__cere__bfs__Z8BFSGraphiPPc_135,conf1,64,142.9757281873353,0.014297572818733532,20.64697265625,39.548303180796964,0.2834022505422994,0.47021484375,0.9609790705924086,0.7383232824878798
__cere__bfs__Z8BFSGraphiPPc_135,conf2,16,252.10324121900823,0.02521032412190083,18.9609375,38.77214668314792,0.2793942992874109,0.49609375,0.8471363823650597,0.0
__cere__bfs__Z8BFSGraphiPPc_135,conf2,32,60.28622997050384,0.006028622997050382,15.416015625,29.532497149372873,0.22799295774647887,0.4775390625,0.9228430254656024,0.48207272266565315
__cere__bfs__Z8BFSGraphiPPc_135,conf2,64,92.48131389653975,0.009248131389653975,19.58984375,21.31605184446661,0.175706771860618,0.47705078125,0.9621136590229312,0.7374376869391824
__cere__bfs__Z8BFSGraphiPPc_157,conf1,16,239.84798715134298,0.023984798715134297,14.8515625,44.34508153603367,0.3072157434402333,0.5078125,0.8542872172540767,0.0
__cere__bfs__Z8BFSGraphiPPc_157,conf1,32,88.36805555555554,0.008836805555555556,16.30078125,24.035466091540858,0.19377897990726434,0.4794921875,0.9227174694464414,0.48442367601246106
__cere__bfs__Z8BFSGraphiPPc_157,conf1,64,113.64563835991754,0.011364563835991753,20.16943359375,39.75355266661824,0.2844546840354767,0.4775390625,0.9604183310334811,0.7373326554821217
__cere__bfs__Z8BFSGraphiPPc_157,conf2,16,287.9465362172068,0.02879465362172068,16.5546875,23.831996224634256,0.19245426829268297,0.5,0.8494572911750826,0.0
__cere__bfs__Z8BFSGraphiPPc_157,conf2,32,102.87828681882746,0.010287828681882747,15.8671875,32.54554406696209,0.24554234769687966,0.4755859375,0.9199901526341704,0.4836287543082225
__cere__bfs__Z8BFSGraphiPPc_157,conf2,64,96.99151475987864,0.009699151475987865,18.03515625,20.85769980506822,0.17258064516129035,0.462646484375,0.9600389863547758,0.7266352609919862
__cere__blackscholes_m4__Z9bs_threadPv_368,conf1,16,172.7449988286131,0.017274499882861307,4.6796875,188.48080133555928,0.6533564814814814,0.5078125,0.8564273789649416,0.0
__cere__blackscholes_m4__Z9bs_threadPv_368,conf1,32,151.3645384046767,0.015136453840467664,4.4765625,177.13787085514835,0.6391687657430731,0.4609375,0.8931064572425829,0.4585514834205934
__cere__blackscholes_m4__Z9bs_threadPv_368,conf1,64,106.34452914014275,0.010634452914014273,5.17431640625,160.60205718599602,0.6162731749710313,0.437255859375,0.9534773992639426,0.6872699820703974
__cere__blackscholes_m4__Z9bs_threadPv_368,conf2,16,429.8128280588661,0.04298128280588662,69.109375,483.67623784761474,0.8286721413077162,0.55859375,0.876328283970156,0.0
__cere__blackscholes_m4__Z9bs_threadPv_368,conf2,32,156.38406173686462,0.01563840617368646,30.46484375,443.55686626490575,0.8160266087941122,0.4619140625,0.91505321195025,0.3390819335812284
__cere__blackscholes_m4__Z9bs_threadPv_368,conf2,64,146.87753492786038,0.014687753492786039,26.10693359375,26.10395197037425,0.20700344091124823,0.48974609375,0.9578431555912993,0.7430564647352573
__cere__blackscholes_m4__Z9bs_threadPv_368,conf3,16,216.61358347546815,0.021661358347546816,25.796875,104.96668685645064,0.5121158392434988,0.48828125,0.8425196850393701,0.0
__cere__blackscholes_m4__Z9bs_threadPv_368,conf3,32,117.68070198375094,0.011768070198375093,20.609375,17.51326762699015,0.14903225806451614,0.4833984375,0.915371493555724,0.49346095526914324
__cere__blackscholes_m4__Z9bs_threadPv_368,conf3,64,105.090450175814,0.0105090450175814,29.31787109375,61.857335576170414,0.3821719624629568,0.47998046875,0.9575137817897174,0.7358892793497993
__cere__bt_adi_205,conf1,16,690.8621330759252,0.06908621330759251,118.140625,9.509324163470435,0.08683574879227052,0.15625,0.49854516598333554,0.0
__cere__bt_adi_205,conf1,32,481.932878869375,0.0481932878869375,77.8515625,7.094831911690913,0.06624812593703144,0.1318359375,0.6104114400401405,0.2650025087807326
__cere__bt_adi_205,conf1,64,352.62766069289603,0.0352627660692896,56.3603515625,11.614367646804013,0.10405799801291604,0.126708984375,0.7705542945263633,0.4283177100479961
__cere__bt_adi_205,conf2,16,715.8778474533349,0.07158778474533348,272.765625,7.326573867216579,0.06826430401366357,0.16015625,0.48080999026178606,0.0
__cere__bt_adi_205,conf2,32,477.71784359046336,0.04777178435904634,143.658203125,5.610920016858589,0.05312821833161685,0.0888671875,0.504629314915775,0.2531100023112586
__cere__bt_adi_205,conf2,64,289.5038639475405,0.028950386394754044,97.98876953125,13.708821462918763,0.12056075585471882,0.07666015625,0.6558368754391297,0.3487126334829904
__cere__bt_adi_205,conf3,16,611.9018785444234,0.06119018785444234,43.15625,13.106444605358437,0.11587708066581304,0.3125,0.7210354815351194,0.0
__cere__bt_adi_205,conf3,32,306.3673282368021,0.030636732823680207,29.404296875,40.179342411159084,0.28662812736921905,0.3349609375,0.8389903686482896,0.38644968449020256
__cere__bt_adi_205,conf3,64,109.32557441078018,0.010932557441078017,20.82177734375,40.027671599090134,0.2858554394426581,0.391357421875,0.9247004197640879,0.6569190722979152
__cere__bt_adi_205,conf4,16,329.86449680595376,0.03298644968059538,25.171875,41.030415890751094,0.29093309859154926,0.4375,0.8116076970825574,0.0
__cere__bt_adi_205,conf4,32,173.64105963789467,0.01736410596378947,19.849609375,54.442585850634664,0.3525101936799184,0.4248046875,0.9045557414149366,0.42251303748893043
__cere__bt_adi_205,conf4,64,59.1055111871862,0.00591055111871862,16.8583984375,44.215953194693846,0.30659543701799485,0.46533203125,0.954208422638012,0.7121010253142559
__cere__bt_adi_208,conf1,16,813.514485205385,0.08135144852053851,52.0625,14.165666266506594,0.12407991587802314,0.125,0.3097238895558223,0.0
__cere__bt_adi_208,conf1,32,436.2684415570553,0.04362684415570554,36.681640625,10.750226292529685,0.09706730769230765,0.0859375,0.48857888291358287,0.2722964698365369
__cere__bt_adi_208,conf1,64,240.2484164407315,0.024024841644073147,30.2705078125,19.80514243313869,0.16531128823782848,0.24267578125,0.6920347130367455,0.5159692873503887
__cere__bt_adi_208,conf1,16,830.5345524020099,0.083053455240201,53.546875,10.650714911000868,0.09625527426160341,0.1328125,0.3271082579515612,0.0
__cere__bt_adi_208,conf1,32,462.0501851321151,0.04620501851321151,34.3984375,9.834203951851016,0.0895368072787428,0.0703125,0.45894844424256187,0.2568135362253009
__cere__bt_adi_208,conf1,64,246.57903302862155,0.024657903302862157,29.15771484375,7.550866616428031,0.070207399103139,0.2392578125,0.6821234195763208,0.5108599179435653
__cere__bt_adi_208,conf2,16,895.7241182030642,0.08957241182030642,70.4375,9.760425909494241,0.08892481810832664,0.1171875,0.23081188997338065,0.0
__cere__bt_adi_208,conf2,32,506.6986601916956,0.050669866019169556,46.4375,5.720053835800809,0.05410566518141313,0.072265625,0.39527254374158816,0.22749831763122474
__cere__bt_adi_208,conf2,64,247.0077916089724,0.024700779160897246,34.8154296875,15.699419371125645,0.13569142746314977,0.169677734375,0.5888474376595327,0.4661860817368376
__cere__bt_adi_208,conf3,16,651.6613618827162,0.0651661361882716,35.0625,20.320855614973254,0.16888888888888887,0.24609375,0.590017825311943,0.0
__cere__bt_adi_208,conf3,32,304.78548017642913,0.03047854801764291,21.376953125,34.49063499314755,0.25645380434782605,0.2822265625,0.7517587939698492,0.35194152581087257
__cere__bt_adi_208,conf3,64,86.9424994517912,0.00869424994517912,18.05322265625,36.66188840505234,0.26826709943001903,0.399169921875,0.9045790171206015,0.6582911854596598
__cere__bt_adi_208,conf4,16,373.7831115722656,0.03737831115722656,23.15625,39.81106612685561,0.2847490347490348,0.41796875,0.7591093117408907,0.0
__cere__bt_adi_208,conf4,32,154.30704009541637,0.015430704009541635,16.880859375,50.133055651972704,0.33392416769420463,0.4296875,0.8831424273978943,0.42427397894249685
__cere__bt_adi_208,conf4,64,63.354054709435204,0.00633540547094352,15.90380859375,54.44413742286083,0.3525166984732825,0.449951171875,0.9483282674772037,0.7035399588591078
__cere__bt_adi_211,conf1,16,207.3211669921875,0.02073211669921875,18.015625,21.422376409366862,0.17642857142857138,0.5,0.8668690372940155,0.0
__cere__bt_adi_211,conf1,32,201.9751277970679,0.02019751277970679,20.80859375,22.545522808334905,0.1839767156862745,0.4775390625,0.9256617232964145,0.487610287216069
__cere__bt_adi_211,conf1,64,60.47080711082175,0.006047080711082176,18.2978515625,22.623685755457124,0.18449686629526463,0.486083984375,0.9626407642632225,0.7416075145434168
__cere__bt_adi_211,conf2,16,317.0425244493754,0.03170425244493754,19.4921875,22.48496993987976,0.18357329842931935,0.48828125,0.8689378757515029,0.0
__cere__bt_adi_211,conf2,32,163.13981919748346,0.016313981919748345,20.619140625,21.85279909065074,0.1793376865671642,0.4853515625,0.9263048214454864,0.4907644217107132
__cere__bt_adi_211,conf2,64,85.17448428470558,0.00851744842847056,21.349609375,37.151221297228076,0.2708778014941302,0.475341796875,0.9626978318543592,0.7367349739273625
__cere__bt_adi_211,conf3,16,221.2312486436632,0.022123124864366323,19.703125,19.904837430610623,0.16600529100529104,0.5,0.8560666137985726,0.0
__cere__bt_adi_211,conf3,32,130.52253798385107,0.013052253798385108,16.537109375,29.25475374985236,0.22633406432748537,0.470703125,0.9222865241525924,0.477500885791898
__cere__bt_adi_211,conf3,64,157.70149492596076,0.015770149492596076,18.5927734375,38.998897000892896,0.280569830713422,0.4638671875,0.95942538998897,0.7161090393403016
__cere__bt_adi_211,conf4,16,250.91552734375,0.025091552734375,16.1875,42.47104247104247,0.29810298102981025,0.5,0.8648648648648649,0.0
__cere__bt_adi_211,conf4,32,157.07855224609375,0.015707855224609376,13.490234375,41.07427247719704,0.29115353037766833,0.484375,0.9260170841175619,0.48400173736788765
__cere__bt_adi_211,conf4,64,82.65119280133928,0.008265119280133928,14.39794921875,35.54447722725269,0.2622347878302642,0.47216796875,0.9608641096076237,0.7300166174924543
__cere__bt_adi_214,conf1,16,236.5619701482885,0.02365619701482885,122.53125,185.53940321346593,0.64978563772776,0.41796875,0.7908696761030349,0.0
__cere__bt_adi_214,conf1,32,116.13699903095292,0.011613699903095291,18.36328125,25.42012337800468,0.2026797829036635,0.482421875,0.9316102956817698,0.48723675813656664
__cere__bt_adi_214,conf1,64,100.23077404115962,0.010023077404115961,19.17724609375,29.792488860598354,0.2295393910860013,0.47119140625,0.9629789942711648,0.7325779758115849
__cere__bt_adi_214,conf2,16,300.4791259765625,0.030047912597656247,18.5234375,21.80514550822439,0.179016620498615,0.5,0.8629270350063265,0.0
